"female","hispanic","white_non_hisp","black_non_hisp","asian_pi","other_race","foreign_born","edu_less_than_hs","poverty","unemployment","premature_mortality","hep_b","hep_c","tb","health_ins","no_health_ins_u18","medicaid_enroll","medicaid_pc_visit","late_no_prenatal_care","clinic_and_community_health_centers"
52.4,28.8,32.7,22.6,13.2,2.7,37.1,19.9,20.6,10.3,193.8,122,119.5,7.2,86.5,4,37,66.2,7,298
51,8.9,73.4,5.7,7.8,4.2,19.6,2.2,10,5.4,72,16.1,52.1,1.4,93,2.1,5,59.5,1.2,0
53.6,7.1,69.7,6.8,15.4,1,46.5,12.6,16.6,10.6,167.3,104.6,109.6,5.8,92.8,3.9,36,75.5,7,0
53.1,12.4,68.7,1.3,15.2,2.3,69.5,12.1,28.1,7.9,177.9,117.6,211.2,5,88,5.9,49.7,78.2,8.8,0
53.1,24.9,32,29.8,11.6,1.8,34.4,28.6,37.1,20,328.4,82.4,171.3,4.6,91.1,2.6,66.8,68.6,8.4,1
58.8,0.5,98.2,0.8,0.3,0.2,66.5,6.8,14.7,8.5,168.2,70.1,164.7,2.2,92.6,NA,37.5,77.4,5.1,0
51.7,7.3,78.7,0.9,11.2,1.9,44.5,15.6,17.8,9.3,149.5,100.2,123.8,5.4,89.9,2.6,39.4,77.4,3.8,2
55,13.9,52.5,9.1,22.9,1.6,47,23.9,23.7,11.9,170.9,145.4,134.2,13.8,86.9,11,47.4,75.1,5.5,0
49.1,15.2,47.2,1.2,35.2,1.2,46.8,25,15.8,7.9,126.4,190.9,87.9,14.6,88.4,4.5,41,78.1,5.8,1
51.3,15.1,44.9,0.7,38.1,1.2,55.4,29.6,19.3,10.6,134.6,263.3,87.6,12.8,86,4.2,48.9,78.7,4.6,2
50.9,10.9,49,0.7,37.7,1.7,57.7,27.8,15.6,9.9,130.4,254.2,131.1,8.6,85.6,6.2,47.8,78.8,4.8,1
50,10.2,49,0.6,39.3,1,45.4,30.1,16,8.9,123.3,326.7,51.8,10,89.6,2.9,42.8,79.2,4.8,1
52.4,16.8,64.3,1.7,14.5,2.7,34.6,14.3,17,8.7,134.5,82.7,72,8.7,89.6,2.7,28,72,5.9,8
46.9,64.1,17.2,3.3,13.8,1.4,45,38.2,28,10.1,131.2,157.9,124.7,13,75.7,3.9,41.6,66.2,4.3,4
52.5,20.9,60.3,10.3,5.5,3,16.8,11.8,15.1,8.2,140.7,27,90.3,3.3,91.1,2.6,18.3,59.9,2.5,1
49.3,33.6,11.8,1.4,51.6,1.6,58.4,53.5,34.7,11.1,118.8,1263.9,62.1,22.5,78.9,4.3,85.5,80.7,3.1,11
54.6,19.5,5.8,70.9,2.3,1.4,20.6,24,28.9,17,275.7,53.4,133.3,9.1,86.2,5.5,35.3,59.5,9.5,0
51.9,18.5,65.1,5.2,6.7,4.6,17.6,7.5,7.6,6.1,88.7,29.4,55,0.4,90.8,2.3,8.8,55.3,1.8,13
51.4,21.5,44.2,21.2,10.3,2.9,18.9,14.6,21.2,9.6,202.6,57.2,127,5.9,91.7,1.7,30.1,60,3.3,1
52.9,14.3,66.2,5.4,10.9,3.3,22.4,9.5,10.2,6.2,111.1,29.3,49.2,3,93.4,2.3,13.7,64.4,1.9,0
50.5,16.2,49.8,6.9,23.3,3.7,44.6,19.2,25.4,7.5,141.9,127.6,92.2,11.7,84.2,3.7,49.2,74.6,4.8,1
54.6,17.7,22.2,47.5,9.8,2.8,47.6,20.3,20.6,10.6,176,71.8,89.2,11.6,83.7,4.8,40.6,66.9,8.3,4
51.2,7.5,76.1,4.4,10.6,1.4,39.1,13.9,23.3,9.1,129.8,111.6,112.2,3.8,89.9,2.9,39.2,75.2,4.5,0
50.9,7.8,67.5,1,22.5,1.2,48.1,14.4,14.2,7.2,115.8,94.5,117.1,5.7,92.9,1.5,34.9,78.9,5.1,1
51.6,9.1,70.2,12.3,6.7,1.7,27.5,9,7.7,9.7,124.1,24.6,63.9,1.4,93.1,2.8,18.3,69.1,2.9,0
51,8.6,85.5,0.3,4.1,1.4,28.6,13.9,19.8,8.7,99.3,45.3,62.6,5,90.1,2.4,36.3,73.5,2.3,0
54.7,7.9,4.9,82.5,3,1.7,46.7,16.3,15.2,9.7,159.7,57,63.6,8.4,88.7,4.7,30.6,63.7,11.3,2
53.6,7.9,16.5,70.3,3.7,1.6,43.6,13.6,11.4,10.3,121.2,49.6,46.4,5.9,90.5,3.9,25.9,65.2,9.9,0
55.6,9.6,11.7,74.2,2.2,2.3,45.4,18.2,23.4,15.1,190.7,60.1,86.6,9.1,84.9,3.7,33.1,61.1,10.3,3
55.3,12.1,12.8,69.9,2.7,2.4,32.5,20.9,29.1,12.7,244.4,56.2,149.8,4.8,84.3,4.4,38,60.4,8.9,6
52.8,8.2,26.4,62.5,1.2,1.5,35.9,16.1,21.2,16.4,186.9,59.5,80.5,4.9,86.3,2.9,36.4,64.8,6.4,0
51,10.5,51.1,26.5,7.8,4,24.4,7.1,9.9,6.4,114.3,28.9,51.9,6.6,90.9,0.7,14.2,58.5,3.1,0
54.3,21.5,28.2,37.8,8.8,3.6,21.9,18.1,24.1,13.3,221.7,58.8,90.3,8.1,88.8,3.6,30.6,59.3,3.2,3
52.5,13.8,38.4,37.8,5.7,4.2,18.9,8.7,19.4,8.9,175.5,31.6,100.5,5.3,87.5,3.5,21.5,63,2.6,0
49,11,85.4,3.1,0.1,0.5,11.7,30.5,56.5,5.8,140.5,19.4,52.1,1,94.8,2.2,77.9,71.6,2.2,2
50.1,35.6,53.2,2.4,5.9,2.9,24.3,16.5,22.5,7.1,137.4,38.6,96.8,3.3,86.2,3.6,30.7,66.3,3.7,1
51.7,19.3,30.6,45.4,2.7,2,19.3,22.5,34.3,13.2,244.8,43.6,104.1,4.2,89,1.9,52,65.1,5.3,3
51.4,12.3,77.7,1.8,5.4,2.9,32.7,9.4,12.5,6.9,173.1,23.4,96.9,4.1,81.1,7.5,16.7,58.5,3.4,2
49.6,71.7,12.1,9.5,6,0.8,42.8,45.9,31,13.3,149.2,38.4,79.2,11,69.2,3.8,34.2,64.3,7.2,4
52.2,59,11.6,25,3,1.4,30.2,34.2,27.8,15,228,35.6,117.8,5.3,80.3,4.1,39.6,61.7,7.8,2
55.6,16.9,2.2,78.2,1.7,1.1,29.6,26.8,30,13.1,291.9,61.7,168.7,5.1,85.9,4.1,45.7,58.7,11.4,0
59.2,18.7,0.9,78.2,0.9,1.2,27.7,27.2,40,15.1,335.4,59.8,148.5,3.3,87.5,5,54.4,60.2,9.9,2
55.5,27,1.8,67.8,2.1,1.4,29.2,22.1,33.2,13.9,282.6,66.3,121.4,6.6,89,3.6,51.4,61.9,9.8,3
52.2,60.4,5,25.9,6.4,2.4,46.1,28.5,30.2,8.6,180.6,58.3,56.7,2.8,84.5,4,52,67.7,8.6,0
55.2,28.1,1.7,69.1,0.7,0.5,34.7,29.2,39.4,16.3,253.9,60.5,182.8,4.4,86,5.5,48.9,61.6,11.5,1
49,10.3,75.6,0.6,12.9,0.6,28.8,28.5,37.3,6.3,112.8,238.6,52.9,6.4,90.1,1.5,65.7,73.1,2.3,3
52.3,31.9,44.9,9.2,12.3,1.6,26.3,22.3,20.2,8.4,169.5,61.8,85.1,5.9,85.1,2.8,29.3,66.2,4.6,2
56.3,5.8,1.8,89.1,1.5,1.7,53.6,12.5,12.4,10.2,163.1,69.8,53.4,6.4,88.1,3.9,30.5,61.8,12.9,2
59.2,21.8,24.8,49.1,2.8,1.5,30.9,20.5,32,15.6,288.7,62.9,132.4,2.6,95.2,2,47.1,66.8,6,0
54.9,11,1.4,84.2,1.6,1.8,54.5,19.2,23,14.3,194.1,104.2,70.2,12.9,82.3,4.8,41.3,61,14.5,1
55.9,5.6,1.3,90.6,0.9,1.6,50.8,17.6,18.6,11.4,177.5,55.5,56.6,7.8,84.6,4.6,34.5,60.2,12.5,1
56.3,55.4,1,42.4,0,1.2,26.3,39.9,50.6,21.7,345.7,149.3,127.7,12,87.7,2.2,66.1,60.8,13,2
56,24.2,3.6,68.8,1.8,1.7,36.4,19.6,18,14.4,181.7,76.4,61.3,3.8,89.2,3.6,36.1,60.4,14.3,0
51.5,71.7,7,15.7,4.2,1.4,40.5,34.1,33.5,16.2,196.9,103.9,143.3,10,82.2,4.4,56.3,65,10.4,2
54,60.3,21.1,15.1,1.7,1.8,32.5,39.1,46.1,12,290.6,74.4,121.5,7.3,83,4.1,51,62.7,10,1
50.2,51.3,11.9,30.4,4.6,2,38,27,25.8,14.6,203.7,83.2,115,6.6,81.6,3.6,46.5,62,12.3,0
50.8,66.2,2.3,24.6,4.4,2.5,37.9,38.3,34.8,14.2,191.9,90.4,111.2,9,78.4,3.5,48.8,64.3,13.3,0
55.4,58.1,1.7,36.6,1.9,1.8,21.9,25.9,27.6,11.9,202.9,60.4,97.1,3,89.4,2.7,43.6,63.9,13.3,3
53.9,30.7,61.2,2.7,4.1,1.4,16.5,17.4,10.3,9.3,161.2,40.3,71.8,1.2,93.3,4.9,19.4,62.6,5.1,1
55.4,30.2,8,58.9,0.7,2.2,26.1,16,10.1,12.4,171.4,50.9,60.5,1.4,92.5,3,20.7,59.1,12.5,1
53,61.3,1.4,34.2,1.3,1.8,37.8,38.9,35.9,15.3,242.1,155.6,119,5.7,84,4.2,55.2,60.2,11.7,3
53.4,69.5,1.6,26.9,1,1,30.7,40.9,45.3,23.3,316,105.1,162.5,9.1,84.7,6.9,62.4,62.8,11.5,6
54.3,19.7,64.4,6.6,8,1.4,21.4,8,8.5,7.5,167.1,30.4,41.4,3.7,94.7,2.8,13,57,2.7,1
52.7,65,1.5,32.5,0.4,0.6,37.4,35.9,43,18.4,267.9,125.2,174.6,4.3,85.3,4.9,59.4,61.2,11.9,0
51.9,74,1,23.3,0.4,1.3,28.2,41.4,42.7,18.3,231,125.4,330.4,2.5,82.7,2.8,59.2,65.2,13.3,2
52.5,65.2,9.7,19.6,3.5,2,40.2,27.5,26.2,16.3,164.5,72.9,97.6,5.4,81.9,5,46.5,62.7,9.1,0
52.1,37.4,46.6,8.6,5,2.4,26.7,12.9,11.5,8.1,160.6,49,71.6,NA,92,3.3,22.5,62.1,5.2,2
53.9,71.9,2.6,19.1,5.1,1.4,43.7,32.5,32.5,16.2,227.7,93.1,115.6,8.9,80.9,3.3,60.1,63.5,10.4,1
52.3,31.4,26,31.3,8.5,2.8,34.9,21.7,12.9,14.1,159,48.1,97.8,4.9,90.9,3.6,27.7,59.6,12.1,1
52,74.5,1.3,22.6,1,0.6,31.9,43.7,38.5,12.7,247.5,83.3,158.1,10.9,83.5,3.9,60.1,61.6,13.7,2
56.1,64.5,2,31.5,0.6,1.4,30.2,41.5,40.8,16.1,280.6,108.5,202.8,4.1,83.9,1.7,61,61,11.9,0
53.7,61,1.3,35.5,0.5,1.7,32,37.4,36.2,15.8,271,138.1,203.6,5,85.8,3.7,60,61.1,12.8,5
54.6,65.4,1.3,30,1.7,1.7,38.1,31.8,41.5,19.6,221.8,99,167.7,9.5,82.2,5.4,64.9,64,11.2,0
50.8,55.6,24,10.1,8.5,1.8,31,25.5,24.6,14.4,181.3,72.3,112.6,2.2,83.9,3.9,39.6,64,10.1,9
52.4,71.9,1.3,25.3,0.8,0.7,27.5,42.9,46.4,14.8,292.2,72.2,226.3,8,81.4,4.8,63.3,61.1,10.1,1
55.2,70.8,1.5,26.1,0.8,0.7,40.8,41.5,47.4,17.4,246.4,122.7,173.7,10,79.8,2.8,66.9,64.8,12.2,2
52.4,69.3,1.6,26.3,1.2,1.6,45,35.5,38.8,18,220.2,156.6,143.4,10.1,83.4,3.7,62,63.3,12,3
53.6,57.6,11.2,17.4,11.4,2.3,42.4,27.7,29.4,14.3,232.8,70.6,130,9.6,84.6,3.3,52.5,62.9,9.6,8
54.7,24.8,2.5,68.8,1.3,2.6,39.1,22.6,23.9,18.5,194.8,93.6,82.2,3.8,86.2,3.9,43.5,61.5,14.9,2
52.8,35.4,2.5,47.1,12.7,2.3,28.7,18.9,17,13.3,174.2,99.1,82.7,10.2,89.3,2.5,38.7,68,10.3,1
53.5,38.5,37,11.9,11.3,1.3,35.4,21.5,17.3,10.6,148.7,48.7,109.4,6.7,86.8,6.1,30.6,64.5,9,2
51.4,41.5,43.3,8.8,3.7,2.8,16.4,18,16,9.9,166.9,34.4,65.7,2.7,90,5,21.1,62.3,10.5,0
51.3,62.2,2.1,24,7.1,4.6,42.5,41.2,35.5,13.5,212.6,88,105.3,9.9,78.9,5.6,53.8,65.6,12.5,1
52.6,62.2,4.8,15.7,14,3.3,33.2,27.6,22.8,16.3,186.9,53.6,83.2,7.2,85.7,4.1,44.7,65.5,11.8,0
53,18,16.3,60.1,3.4,2.1,42.2,16.4,15.5,13.4,153.6,55.1,66.6,6,86.2,4.5,28,63.4,14.9,2
52.5,69.1,1.2,24.4,3,2.1,47.1,37,36.6,15.2,206.5,126.4,107.3,10.6,82.6,3.8,60,63,10.6,1
54.6,67.3,1,30,0.7,1,34.2,37.8,44.7,18.4,242.5,85.8,159.7,12.8,85.4,4.3,61,63.5,12.7,0
52.2,76,13.8,7.1,1.5,1.5,48,29.8,26.9,16.5,107.2,33.7,68.2,3.2,82.9,5.3,40.9,63.7,7,1
53.9,23.8,7.9,62.3,2.9,3,22.3,21.4,30.2,17.1,258.1,102.8,175.3,7.8,84.7,5.1,41.1,59.2,11.7,1
51.8,48,14.2,31.8,2.1,3.9,35.5,26.3,28.8,12,174.4,76.5,127.4,5.8,81.8,7.8,38.4,61.3,9.5,2
52.5,56.7,9.7,28,3.1,2.5,39.1,33.5,33.1,9.1,196.3,61.2,85.5,4.3,83.1,4,42.4,61.5,8.5,1
55.1,22.1,47.7,11.5,15.2,3.5,30.1,11.7,24.2,7.3,118.1,71.5,93.6,4.8,92.6,3.3,17.6,60,7,1
54.4,19.7,18.7,54.9,4.2,2.6,23.5,16.8,27.3,8.1,198.7,95.5,134.2,7.5,89.1,1.7,31.3,60,9.7,3
54.8,16.2,65.7,8.1,7.3,2.7,22.2,6.8,10.8,6.5,103.8,33.7,61.8,2.4,92.4,2.2,12.1,58.9,3.2,1
49,14,63.1,6.1,13.1,3.6,22.9,5.8,12.6,6.6,113.8,43,160.2,3.5,93,2.2,15.7,60.1,3.4,5
51.5,9.5,74.8,2.4,10.7,2.4,22.8,2.6,8,5.7,77.4,39.5,72.9,1.7,95.9,0.5,7,58.8,2.4,0
46.1,20.7,58.2,5.2,13.2,2.7,30.7,8.1,12.4,7.8,127.5,62.5,136,4,88.2,8,20.8,60.6,6.4,3
52,7.7,63.9,4,21.6,2.9,33.3,3.8,13.4,5.6,121.5,73.3,123.8,2.4,93.6,1.9,15.7,57.3,3,3
55.3,6.8,74.3,1.9,15,2.1,24.7,2,6.2,4.3,76.5,41.8,53.5,4.8,96.1,1.4,3.7,53.3,2.4,4
54.7,11.5,63.6,5,16.1,3.7,24.3,4.5,12.5,5.5,116.5,53.2,205.4,4.2,94.3,1,8.9,57,3.2,9
55.6,7,73,4,12.8,3.2,18.8,2.9,9.2,7.9,113.1,40.1,66.6,1.2,94.4,2.7,5.5,56.4,1.9,5
50.4,10.8,67.4,4.8,14.3,2.7,23.1,6.7,14.7,5.3,119,43,132.1,2.3,90.3,5.8,12.3,61.4,4.7,3
50.3,5.9,80.6,2,8.5,3.1,18.2,1.4,6.9,5.3,77.1,19.4,50.8,2,95.6,0.7,4,52.3,1.9,1
50.1,6.3,65.9,2.2,21,4.7,26.3,9.2,10,5,83.5,173.5,87,8.7,94,1.7,15.3,71,1.6,1
51.6,9.1,65.3,2.9,19.7,3,29.3,4.1,7.6,4.3,79.2,58.4,62.7,3.9,94.5,1.7,11.1,47.4,2.4,0
48.4,13.6,16.7,4.1,61.8,3.8,53.8,38.7,29,9.1,151.4,823.7,212.3,18.5,84.8,5.5,59.7,77.6,4.2,2
54.1,39.3,22.5,9.4,25.4,3.3,31.6,30.9,28.2,11.2,193,156.4,109,15.1,90,3.5,47.3,69.7,5.5,1
56.7,8.1,74.1,4.2,11.5,2.2,27.7,3.6,8.2,4.3,119.3,47.8,60.5,2.9,95,3.1,5.9,51.8,2.4,10
57.4,9.3,76.5,2.8,9.2,2.1,20.3,4,7.2,5.4,92.5,21.3,54.8,3.7,93.4,4.2,7.2,54.8,2.4,2
52.9,42.8,19.5,24.9,10.5,2.4,28.1,24,26.9,12.2,237.7,61.9,159.8,6.8,85.3,8.6,41.5,58.7,7.4,8
54.5,49.7,8.3,35.3,4.5,2.2,24,29.2,37.1,11.3,295.5,83.5,225.9,7.2,84.7,3,50.2,60.7,9.8,6
49.8,65.7,25.3,4.9,2.6,1.5,46.6,25.8,20,12.9,97,38.8,66.8,2.7,86.6,3.1,36.2,61.6,5.8,1
50.1,72,11.9,11.1,3,2.1,48.5,34,27.5,14.4,128.6,69.7,88.8,4.1,81.5,3.6,43.2,60.8,7.6,5
55.9,5.4,85.5,1.1,5.7,2.3,18.7,2,5.9,4.4,63.7,23.2,66.5,3.4,97.6,1.3,2.2,49.3,2,2
57.6,7.9,72.6,3.4,13.6,2.4,19.3,2.4,11.1,4.6,94.7,30.3,49.5,1.5,93.2,4.1,4.1,51.7,2.1,0
52.2,24.9,0.5,61.7,6.1,6.8,32.5,22.3,19.8,19.8,203.8,49.2,95,4.5,84.8,5.5,39.2,66.4,11.4,0
59.3,12.2,1.2,84.3,1.3,0.8,24.9,14.8,12.9,12.8,177.3,45.8,57.8,4.9,90.4,5,24.6,64.8,12,0
54.7,6.4,1.7,86.9,2.3,2.6,38.8,14.6,12,11.7,123.9,35.8,76.7,4.7,89.6,5,27.6,64.6,12.8,0
56.1,7,5.4,82.9,3.5,1.3,40.9,11.9,8.7,6.6,66.6,33.9,37.1,1.2,89.1,3.8,22.4,65.1,11.5,0
55.3,16.2,22.8,25.2,30.7,5.2,49,13.5,12.8,7.2,110.1,40.8,34.6,5.2,89,5.4,27.2,71,7,0
54,10.5,2.5,63.9,15.7,7.5,46.1,16.9,11.6,15.1,149.8,51.8,51.5,14.1,85.2,6.4,33.9,66.2,12.8,0
54.7,7,1,88.1,1.7,2.2,35.8,12.6,9.3,13.6,147.9,47.4,64.4,2.5,87.4,5.5,24.7,63.7,9.5,1
51,11.1,77.9,7.9,2.1,1,12.3,11.8,7.6,8,204.9,15,79.8,3.5,92.5,4.1,15.6,61.3,5.3,0
53.6,25.1,17.6,49.7,4.1,3.5,26.8,25.5,26,14.7,299.9,47.4,101.5,1.8,88.4,3.3,48.3,65.6,14.3,1
53.3,27.8,25.2,42,3,2.1,34.4,29.1,23.2,10.2,234.4,47.6,98.3,1.3,86.5,3.8,42.8,67.2,10.4,3
53,14,56.2,2.7,25,2.2,47.3,7.4,10.2,6.8,93.5,88.6,62.4,6.3,91.3,4.9,20.4,76.3,3.3,0
53.5,18,45.7,1.9,31.1,3.3,58.7,10.1,10.1,7.7,94.8,136.4,88.4,10.1,86.5,4.6,31.4,76.6,5.2,2
50.5,35.9,57.4,0.9,4.7,1.1,30.5,16.4,12,8,141.4,31.2,52.3,4.1,87.9,2.6,24.2,67.6,5.7,0
50.5,48.5,40.4,2,7.8,1.3,44.7,23,20.1,8.1,135.9,63.8,84.9,7.1,79,5.2,34.5,69.6,8.5,1
52.2,17,74.1,0.7,7.4,0.7,32.6,14.9,9,7.9,131.3,30.8,77.4,1.7,90.7,3.9,18.8,69.4,3.9,0
53.3,15.1,8.9,3.8,68.8,3.5,71.3,26.2,23.6,8.3,108.8,698,86.1,21.8,75.1,11.8,66,81.2,8.6,1
50.2,36.7,27.5,1.7,31.9,2.4,47.6,21.1,12.9,9.2,158.5,150.5,66.3,10.6,81,6.9,42.8,71.5,5,0
48.3,59.6,8.3,17.6,13.7,0.8,56.6,33.8,23.9,7.5,118.6,112.6,55.7,16.9,72.7,4.2,47.2,72.2,8.3,2
44.3,86.9,1,4.2,7.2,0.7,66.6,46.6,25.2,6,99.9,65.9,56.6,20.6,58.5,4.8,49.1,70.4,9.4,1
47.4,62.4,4.9,24.4,6.9,1.4,55.1,25,20.6,9.1,144,42.3,75.1,10.3,73.9,6.8,48.3,67.4,10.5,0
49.8,55.3,16.1,1.8,24,2.8,62,23.6,18.4,9.4,102.8,73.4,55.3,15.5,76.7,6.1,39.7,72.6,9.2,1
48,44.3,6.3,1.4,45.9,2.1,69.4,30.6,20.5,6.2,88.9,220.8,46.8,29,72.6,4.5,45.8,74.4,8.4,0
51.4,28.2,57.5,1,12.2,1.1,40.5,15.7,12,9,156.7,104.5,59.7,6.3,83,5.6,32.3,72.1,6.2,0
50.5,33.1,37.6,2.1,25,2.2,51.3,16.3,14.2,6.5,115.8,73.5,88.3,14.1,78.4,4.4,27,71,6.2,1
54.8,3.9,1.6,91.1,1.3,2,38.7,10.1,4.8,6.7,96,32.8,20.1,1.7,89.5,4.8,19.8,64.7,8.8,0
52.4,17.6,6.2,49.3,17,10,51.1,17.1,10.8,13,110.4,56.2,48.2,9.4,86,5.6,27.2,67.2,8.7,0
51.2,25.8,19.4,10.8,38.6,5.6,56.8,15.8,15.8,12.9,116.3,85.1,55.5,13.3,80.1,5.9,39.6,73.3,8,0
52.2,12.3,52.1,7.2,24.3,4,40.2,12.2,13.8,8.2,113,103.7,64.4,4.4,90.6,2.7,30.7,75,3.7,0
53.7,21.8,34.8,10.6,30.5,2.3,38.4,14.2,20.5,12.5,112.3,112.5,50.1,4.9,91.4,1.5,32.6,72.6,6.5,0
51.5,13.2,31.9,3.6,48.5,2.7,49.6,12.3,12.9,10.4,99.1,128.2,32.8,7.4,85.5,2.3,28.3,74.4,4.6,0
51.6,7.6,40.9,1.9,46,3.6,44.8,8.8,9.3,6.6,84.4,119.7,46.7,7.1,88.4,6.3,23.5,73.3,4.8,0
51.5,19.8,30.6,5.7,39.8,4.1,41.6,12.8,10.5,6.7,91.9,40,68.9,8.8,91,5.6,24.4,72.8,5,1
54.6,8.1,49.1,4.3,34.6,3.8,34.7,9.3,7.5,8.7,103.3,21,29.4,4.5,92.7,3.7,17.3,68.7,2.2,1
51.6,11.3,46.7,1.8,39.2,1,39.1,9.3,7.4,7,63.8,85.5,38.1,5.2,89.3,3.2,16,69.7,3.2,0
52,14.9,41.5,1.7,38.6,3.2,42.5,11.5,7.3,8.4,72.5,83.8,48.9,2.1,89.3,4.8,21.6,73.1,4,0
52.8,8.5,67.7,0.4,20.9,2.5,29.6,8.8,7.2,10.2,92.7,50.3,38.9,3,94,2.1,13.6,68.3,3.1,0
52,10.8,41.9,1,44.1,2.1,46.4,15.5,8,7.8,93.1,126.4,26.5,4.8,87.3,6.4,26.2,73.4,5.1,6
51.1,16.2,64.1,0.5,17,2.2,33.1,13.6,6.6,7.6,107,61.1,48.5,6.3,90.5,4.8,17.6,69.5,4.5,0
50.4,28.4,14.9,0.8,54.7,1.4,66.8,23.8,14.1,5.4,87.9,218.8,56,27.8,76.3,4.5,45.2,76.3,8.1,0
52.3,14,26.5,1.7,55.7,2,58.6,20.8,15.6,8,103.3,260.7,66.1,15.4,78.4,9.2,39.5,77.6,5.1,1
